,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
374,Cadillac,US,1540296900,44.25,-85.4,46.4,90,75,12.75
375,Saint George,GR,1540295400,39.45,22.34,60.8,90,87,5.82
376,Kalmunai,LK,1540297658,7.42,81.82,75.68,68,100,2.37
377,Port Lincoln,AU,1540297434,-34.72,135.86,52.6,8,100,9.42
378,Magadan,RU,1540292400,59.56,150.8,8.6,0,92,8.19
379,Namtsy,RU,1540297658,62.72,129.66,21.64,68,82,5.28
380,Sangar,RU,1540297659,63.92,127.47,20.15,88,77,3.94
381,Guhagar,IN,1540297659,17.48,73.19,86.71,20,75,9.75
382,Sao Miguel do Tapuio,BR,1540297659,-5.5,-41.32,88.15,0,42,14.67
383,Riyadh,SA,1540296000,24.63,46.72,91.4,40,21,4.7
384,Mihai Viteazu,RO,1540296000,46.16,25.03,57.2,40,76,5.82
385,Talnakh,RU,1540297660,69.49,88.39,27.62,68,81,11.43
386,Jaciara,BR,1540297660,-15.95,-54.98,81.17,56,83,4.38
387,Maceio,BR,1540296000,-9.67,-35.74,82.4,75,58,10.29
388,Kupino,RU,1540297660,54.36,77.31,33.7,92,100,20.27
389,Bilma,NE,1540297661,18.69,12.92,100.12,0,17,5.84
390,Cabinda,AO,1540296000,-5.56,12.19,86.0,20,70,10.29
391,Samarai,PG,1540297661,-10.62,150.67,76.63,76,100,7.63
392,Iwanai,JP,1540297661,42.97,140.51,60.65,80,86,16.8
393,Zyryanka,RU,1540297662,65.73,150.89,2.92,64,85,2.71
394,Chik,RU,1540294200,54.99,82.44,30.2,90,68,8.95
395,Tupik,RU,1540297662,54.43,119.94,27.85,80,89,2.48
396,Cueramaro,MX,1540295100,20.62,-101.72,57.2,75,93,2.04
397,Varzea da Palma,BR,1540297663,-17.6,-44.73,76.45,36,65,12.1
398,Verkhnevilyuysk,RU,1540297663,63.45,120.31,25.51,56,76,5.5
399,San Benito,CO,1540297666,6.13,-73.51,62.0,88,99,2.71
400,Amurzet,CN,1540297667,47.69,131.09,47.02,92,97,10.42
401,Mae Hong Son,MM,1540296000,19.3,97.96,73.4,75,94,3.36
402,Praia da Vitoria,PT,1540296000,38.73,-27.07,68.0,40,82,19.71
403,Marsh Harbour,BS,1540297667,26.54,-77.06,79.78,0,100,14.0
404,Olinda,EC,1540296000,-2.03,-79.75,71.6,75,83,8.05
405,Qaqortoq,GL,1540295400,60.72,-46.03,33.8,75,98,1.12
406,Plettenberg Bay,ZA,1540297668,-34.05,23.37,75.73,0,64,4.94
407,Portland,US,1540295820,45.52,-122.67,48.2,90,100,3.15
408,Mersin,TR,1540295400,36.81,34.63,86.0,40,35,10.29
409,Rajura,IN,1540297668,19.78,79.37,85.67,20,51,5.17
410,Meulaboh,ID,1540297669,4.14,96.13,81.13,44,100,3.83
411,Luleburgaz,TR,1540295400,41.4,27.36,62.6,75,72,18.34
412,Sumenep,ID,1540297669,-7.02,113.87,85.4,8,92,5.39
413,Pitimbu,BR,1540296000,-7.47,-34.81,86.0,75,55,16.11
414,Sidi Ali,DZ,1540297670,36.1,0.42,72.08,92,65,6.17
415,Khislavichi,RU,1540297670,54.19,32.16,45.49,92,86,9.19
416,Puerto El Triunfo,SV,1540295400,13.27,-88.55,77.0,40,100,3.36
417,Cacu,BR,1540297670,-18.56,-51.13,77.48,48,95,6.73
418,Weiser,US,1540295580,44.25,-116.97,46.4,1,75,1.92
419,Amnat Charoen,TH,1540297671,15.86,104.63,76.85,48,87,6.96
420,Ambon,FR,1540296000,47.55,-2.56,59.0,0,58,8.05
421,Onalaska,US,1540296900,43.88,-91.23,35.6,1,69,3.36
422,Maragua,KE,1540296000,-0.8,37.13,66.2,75,77,16.11
423,Komsomolskiy,RU,1540297671,67.55,63.78,28.43,92,92,2.93
424,Aykhal,RU,1540297672,65.95,111.51,19.52,88,89,3.94
425,Port Maria,JM,1540296000,18.37,-76.89,80.6,40,78,3.36
426,Thinadhoo,MV,1540297672,0.53,72.93,84.19,80,100,13.67
427,Lannion,FR,1540296000,48.73,-3.46,59.0,0,72,10.29
428,Emerald,AU,1540297672,-23.53,148.16,76.18,0,53,8.52
429,Antofagasta,CL,1540292400,-23.65,-70.4,57.2,75,76,4.7
430,Malindi,KE,1540296000,-3.22,40.12,82.4,40,58,26.4
431,Constitucion,MX,1540297673,23.99,-104.67,55.03,92,100,3.27
432,Muborak,UZ,1540297674,39.25,65.15,69.92,68,32,6.17
433,Pangody,RU,1540297674,65.85,74.49,27.49,88,88,17.81
434,Teguise,ES,1540296000,29.06,-13.56,75.2,75,83,10.29
435,Itarema,BR,1540297675,-2.92,-39.92,84.77,56,66,16.02
436,Syracuse,US,1540295760,43.05,-76.15,41.0,90,86,5.06
437,Beringovskiy,RU,1540297473,63.05,179.32,27.58,44,100,15.46
438,Sokoni,CD,1540297675,-12.89,28.78,80.23,0,37,9.19
439,Pirgos,GR,1540295400,35.12,25.72,78.8,75,69,12.75
440,Ormara,PK,1540297675,25.21,64.64,85.4,0,65,15.01
441,Flin Flon,CA,1540296000,54.77,-101.88,26.6,20,86,4.7
442,Buraydah,SA,1540296000,26.33,43.97,87.8,40,43,3.36
443,Hambantota,LK,1540297679,6.12,81.12,82.97,48,98,9.19
444,Gawler,AU,1540296000,-34.6,138.75,53.6,0,62,6.93
445,Kontagora,NG,1540297679,10.4,5.47,90.13,20,78,5.95
446,Gillette,US,1540295580,44.29,-105.5,42.8,1,56,13.87
447,Nome,US,1540295700,30.04,-94.42,60.8,75,72,10.29
448,Tecoanapa,MX,1540295760,16.99,-99.26,75.2,75,94,3.6
449,Dasna,IN,1540297680,27.57,73.54,86.93,20,22,3.27
450,Benghazi,LY,1540295880,32.12,20.07,53.6,75,93,13.87
451,Warrnambool,AU,1540297386,-38.38,142.48,53.95,92,84,11.99
452,Touros,BR,1540297649,-5.2,-35.46,83.87,76,70,15.9
453,Villamontes,BO,1540296000,-21.26,-63.47,71.6,90,83,8.05
454,Synya,RU,1540297495,65.37,58.04,36.17,92,96,11.1
455,Crixas,BR,1540297681,-14.55,-49.97,78.2,64,81,11.77
456,Pervomayskoye,RU,1540297681,57.07,86.23,28.88,44,75,10.31
457,La Ronge,CA,1540296000,55.1,-105.3,30.2,5,74,8.05
458,Aksarka,RU,1540297395,66.56,67.8,31.67,92,95,5.39
459,Nyuksenitsa,RU,1540297681,60.41,44.24,41.3,88,99,8.3
460,Zambezi,ZM,1540297681,-13.55,23.12,84.73,56,34,13.89
461,Saint-Francois,FR,1540296000,46.42,3.91,48.2,90,93,6.93
462,Nouadhibou,MR,1540296000,20.93,-17.03,78.8,92,54,17.22
463,Yakeshi,CN,1540297682,49.28,120.73,36.58,88,67,7.29
464,Minot,US,1540295640,48.23,-101.3,19.4,1,73,6.85
465,Bandarbeyla,SO,1540297683,9.49,50.81,79.15,20,96,10.09
466,Sobolevo,RU,1540297683,54.43,31.9,44.32,76,81,10.09
467,Necochea,AR,1540297411,-38.55,-58.74,49.54,88,82,8.41
468,Alice Springs,AU,1540296000,-23.7,133.88,80.6,0,12,6.93
469,Bata,GQ,1540296000,1.87,9.77,84.2,40,83,9.17
470,Mecca,SA,1540297433,21.43,39.83,90.98,76,56,4.83
471,Caravelas,BR,1540297684,-17.73,-39.27,74.92,8,100,7.52
472,Azuaga,ES,1540297684,38.26,-5.68,68.98,68,74,5.95
473,Alamogordo,US,1540295700,32.9,-105.96,57.2,20,82,6.93
474,Port Macquarie,AU,1540296000,-31.43,152.91,66.2,0,88,3.36
475,Srandakan,ID,1540297685,-7.94,110.25,74.38,80,91,3.83
476,Ishurdi,BD,1540297685,24.13,89.07,82.57,0,64,2.71
477,Mount Gambier,AU,1540297404,-37.83,140.78,50.98,68,58,4.27
478,Manubul,PH,1540297686,5.47,120.8,83.15,44,100,3.49
479,Parsabad,AZ,1540297630,39.65,47.92,76.54,20,60,5.73
480,Longyearbyen,NO,1540295400,78.22,15.63,33.8,75,69,35.57
481,Hirara,JP,1540292400,24.8,125.28,73.4,40,83,3.36
482,Tura,IN,1540297689,25.52,90.21,76.67,0,79,2.59
483,Pavino,RU,1540294200,55.02,82.61,30.2,90,68,8.95
484,Yulara,AU,1540296000,-25.24,130.99,82.4,12,17,13.87
485,Leshukonskoye,RU,1540297690,64.9,45.76,37.43,88,80,5.17
486,Novoagansk,RU,1540297690,61.94,76.66,30.95,92,85,9.64
487,Tchaourou,BJ,1540297690,8.89,2.6,90.94,32,66,8.97
488,Luena,AO,1540297691,-11.78,19.91,72.4,92,75,5.73
489,Naze,NG,1540296000,5.43,7.07,84.2,75,83,17.22
490,Ambilobe,MG,1540297691,-13.19,49.05,87.97,44,42,19.93
491,Reconquista,AR,1540294620,-29.14,-59.64,64.4,90,88,13.87
492,Ende,ID,1540297691,-8.84,121.65,80.63,44,100,6.62
493,Mandalgovi,MN,1540297691,45.76,106.27,32.17,0,77,8.52
494,Mukhen,RU,1540297692,48.19,136.14,46.43,44,55,6.73
495,Kalvarija,LT,1540297692,54.41,23.23,40.27,92,99,26.31
496,Verkhoyansk,RU,1540297692,67.55,133.39,4.27,64,86,2.59
497,Sumbe,AO,1540297692,-11.2,13.84,79.06,64,95,8.52
498,Mvomero,TZ,1540296000,-6.3,37.45,86.0,40,42,6.96
499,Manati,AL,1540295400,41.76,19.67,77.0,20,31,5.82
500,Awbari,LY,1540297693,26.59,12.77,88.42,0,20,11.21
501,Westport,IE,1540296000,53.8,-9.52,53.6,75,76,13.87
502,Hamilton,BM,1540295700,32.3,-64.78,71.6,75,68,16.11
503,Najran,SA,1540296000,17.54,44.22,87.8,75,29,2.24
504,Grand-Santi,GF,1540297694,4.27,-54.38,80.95,8,77,4.16
505,Vila Velha,BR,1540296000,-3.71,-38.6,86.0,75,62,16.11
506,Kidal,ML,1540297694,18.44,1.41,102.01,0,21,11.65
507,Linjiang,CN,1540297694,41.81,126.91,40.09,32,80,5.5
508,Lityn,UA,1540297694,49.32,28.09,49.67,8,77,14.0
509,Heinola,FI,1540295400,61.2,26.03,41.0,75,86,9.17
510,Ossora,RU,1540297695,59.24,163.07,29.74,36,100,7.18
511,Wanning,AT,1540295400,48.64,13.53,53.6,75,66,21.92
512,Aksu,KZ,1540294200,52.04,76.93,35.6,0,59,11.18
513,Iskateley,RU,1540297695,67.68,53.15,31.67,92,98,3.83
514,Zaranj,AF,1540296000,30.95,61.86,89.6,40,14,6.93
515,Lasa,CY,1540296000,34.92,32.53,84.2,20,58,10.29
516,Nichinan,JP,1540293000,31.65,131.31,69.8,75,88,5.82
517,Jizan,SA,1540296000,16.89,42.56,91.4,40,66,9.17
518,Fort Nelson,CA,1540296000,58.81,-122.69,24.8,40,85,2.48
519,Mayya,RU,1540294200,61.74,130.28,15.8,0,92,4.47
520,Nenjiang,CN,1540297697,49.17,125.23,34.33,12,85,6.85
521,Lamar,US,1540295580,38.09,-102.62,37.4,1,93,3.38
522,Oksfjord,NO,1540295400,70.24,22.35,42.8,75,60,8.05
523,Birao,CF,1540297698,10.3,22.78,77.08,88,75,8.75
524,Kamenka,RU,1540297698,53.19,44.05,47.83,92,98,12.66
525,Harper,US,1540295700,30.3,-99.24,55.4,90,81,2.82
526,Cap Malheureux,MU,1540296000,-19.98,57.61,77.0,40,53,14.99
527,Rawatbhata,IN,1540297702,24.93,75.59,86.35,32,30,2.93
528,Borisoglebskiy,RU,1540297702,57.26,39.15,45.58,88,85,8.3
529,Magdalena,BO,1540296000,-13.26,-64.05,77.0,75,94,6.4
530,Altay,CN,1540297703,47.83,88.13,19.84,8,75,5.73
531,Aqtobe,KZ,1540294200,50.28,57.21,59.0,20,51,15.66
532,Sergeyevka,KZ,1540297703,53.88,67.42,40.13,0,71,19.15
533,Ranot,TH,1540297703,7.78,100.32,77.89,76,97,0.69
534,Brae,GB,1540295400,60.4,-1.35,51.8,20,71,19.46
535,Ayagoz,KZ,1540297704,47.96,80.43,28.84,20,48,9.19
536,Vagur,FO,1540297704,61.47,-6.81,48.37,24,95,23.06
537,Saldanha,PT,1540297704,41.42,-6.55,64.25,0,52,8.19
538,Vikesa,NO,1540295400,58.64,6.09,51.8,75,71,23.04
539,Kaeo,NZ,1540297704,-35.1,173.78,57.37,92,98,3.49
540,Mazamet,FR,1540296000,43.49,2.38,64.4,0,63,18.34
541,Xinmin,CN,1540294200,42.0,122.83,46.4,0,61,4.47
542,Springdale,US,1540295880,36.19,-94.13,44.6,1,100,3.36
543,Ulladulla,AU,1540292400,-35.36,150.48,60.8,40,87,17.22
544,Beloha,MG,1540297706,-25.17,45.06,76.67,0,39,13.78
545,Arenapolis,BR,1540297706,-14.45,-56.85,78.61,0,99,4.38
546,Planaltina,BR,1540296000,-15.62,-47.66,69.8,75,83,8.05
547,Dunda,IN,1540297706,30.62,78.32,45.31,24,85,0.69
548,Margate,AU,1540296000,-43.03,147.26,48.2,44,49,8.05
549,Nyrob,RU,1540297707,60.74,56.73,37.48,92,98,13.56
550,Paicol,CO,1540297707,2.45,-75.77,62.41,88,99,2.37
